('O', 'M', 206, [1044, 882], [996, 717])
('M', 'AC', 197, [996, 717], [1140, 656])
('AC', 'O', 262, [1140, 656], [1044, 882])
('H', 'R', 208, [539, 581], [742, 624])
('R', 'AE', 400, [742, 624], [486, 880])
('AE', 'H', 325, [486, 880], [539, 581])
('A', 'AB', 194, [889, 156], [702, 153])
('AB', 'Q', 725, [702, 153], [1, 1])
('Q', 'A', 981, [1, 1], [889, 156])
('W', 'G', 356, [160, 440], [365, 229])
('C', 'W', 343, [440, 450], [160, 440])
('Q', 'G', 535, [1, 1], [365, 229])
('AB', 'G', 422, [702, 153], [365, 229])
('AB', 'T', 208, [702, 153], [554, 224])
('T', 'G', 197, [554, 224], [365, 229])
('L', 'M', 282, [997, 470], [996, 717])
('R', 'L', 342, [742, 624], [997, 470])
('L', 'AC', 253, [997, 470], [1140, 656])
('N', 'M', 82, [965, 788], [996, 717])
('O', 'N', 149, [1044, 882], [965, 788])
('N', 'R', 334, [965, 788], [742, 624])
('W', 'AA', 345, [160, 440], [383, 621])
('AA', 'AE', 323, [383, 621], [486, 880])
('AE', 'W', 659, [486, 880], [160, 440])
('AA', 'H', 176, [383, 621], [539, 581])
('C', 'AA', 201, [440, 450], [383, 621])
('C', 'H', 182, [440, 450], [539, 581])
('AB', 'P', 210, [702, 153], [652, 309])
('P', 'T', 163, [652, 309], [554, 224])
('P', 'V', 159, [652, 309], [498, 317])
('V', 'T', 116, [498, 317], [554, 224])
('N', 'S', 209, [965, 788], [864, 917])
('S', 'R', 340, [864, 917], [742, 624])
('AE', 'S', 471, [486, 880], [864, 917])
('S', 'F', 79, [864, 917], [914, 967])
('F', 'AE', 485, [914, 967], [486, 880])
('S', 'O', 206, [864, 917], [1044, 882])
('O', 'F', 199, [1044, 882], [914, 967])
('V', 'I', 88, [498, 317], [446, 269])
('I', 'C', 182, [446, 269], [440, 450])
('V', 'C', 169, [498, 317], [440, 450])
('V', 'E', 158, [498, 317], [587, 435])
('E', 'C', 166, [587, 435], [440, 450])
('P', 'E', 173, [652, 309], [587, 435])
('E', 'H', 169, [587, 435], [539, 581])
('J', 'L', 229, [769, 485], [997, 470])
('R', 'J', 145, [742, 624], [769, 485])
('J', 'D', 111, [769, 485], [820, 409])
('D', 'L', 240, [820, 409], [997, 470])
('AD', 'A', 142, [947, 276], [889, 156])
('A', 'AC', 656, [889, 156], [1140, 656])
('AC', 'AD', 502, [1140, 656], [947, 276])
('L', 'AD', 249, [997, 470], [947, 276])
('K', 'P', 87, [736, 314], [652, 309])
('AB', 'K', 165, [702, 153], [736, 314])
('A', 'K', 232, [889, 156], [736, 314])
('AD', 'K', 226, [947, 276], [736, 314])
('H', 'Y', 133, [539, 581], [652, 530])
('Y', 'R', 157, [652, 530], [742, 624])
('E', 'Y', 143, [587, 435], [652, 530])
('D', 'X', 117, [820, 409], [911, 366])
('X', 'L', 171, [911, 366], [997, 470])
('X', 'AD', 122, [911, 366], [947, 276])
('K', 'X', 220, [736, 314], [911, 366])
('D', 'K', 134, [820, 409], [736, 314])
('U', 'Y', 140, [721, 422], [652, 530])
('E', 'U', 140, [587, 435], [721, 422])
('P', 'U', 145, [652, 309], [721, 422])
('K', 'U', 137, [736, 314], [721, 422])
('J', 'U', 100, [769, 485], [721, 422])
('U', 'D', 109, [721, 422], [820, 409])
('B', 'J', 86, [720, 542], [769, 485])
('R', 'B', 96, [742, 624], [720, 542])
('Y', 'B', 86, [652, 530], [720, 542])
('B', 'U', 139, [720, 542], [721, 422])
