('V', 'J', 282, [72, 286], [140, 510])
('J', 'AE', 451, [140, 510], [1, 833])
('AE', 'V', 605, [1, 833], [72, 286])
('J', 'T', 395, [140, 510], [332, 787])
('T', 'AE', 385, [332, 787], [1, 833])
('AD', 'AE', 210, [12, 1035], [1, 833])
('T', 'B', 252, [332, 787], [508, 958])
('B', 'AD', 586, [508, 958], [12, 1035])
('R', 'T', 158, [346, 640], [332, 787])
('J', 'R', 305, [140, 510], [346, 640])
('R', 'I', 168, [346, 640], [464, 723])
('I', 'T', 151, [464, 723], [332, 787])
('N', 'F', 200, [803, 305], [604, 285])
('F', 'AC', 318, [604, 285], [563, 1])
('AC', 'N', 456, [563, 1], [803, 305])
('Y', 'P', 171, [345, 346], [308, 493])
('P', 'J', 180, [308, 493], [140, 510])
('J', 'Y', 275, [140, 510], [345, 346])
('P', 'R', 164, [308, 493], [346, 640])
('Y', 'E', 224, [345, 346], [144, 258])
('E', 'C', 231, [144, 258], [344, 141])
('C', 'Y', 209, [344, 141], [345, 346])
('AA', 'E', 328, [349, 60], [144, 258])
('E', 'V', 92, [144, 258], [72, 286])
('V', 'AA', 357, [72, 286], [349, 60])
('AA', 'C', 91, [349, 60], [344, 141])
('E', 'J', 324, [144, 258], [140, 510])
('B', 'D', 187, [508, 958], [591, 828])
('D', 'M', 398, [591, 828], [962, 825])
('M', 'B', 483, [962, 825], [508, 958])
('T', 'AB', 106, [332, 787], [422, 801])
('AB', 'B', 211, [422, 801], [508, 958])
('I', 'AB', 92, [464, 723], [422, 801])
('AB', 'D', 186, [422, 801], [591, 828])
('I', 'D', 205, [464, 723], [591, 828])
('U', 'AC', 213, [512, 161], [563, 1])
('U', 'AA', 242, [512, 161], [349, 60])
('AA', 'AC', 259, [349, 60], [563, 1])
('U', 'C', 189, [512, 161], [344, 141])
('G', 'H', 241, [685, 551], [681, 362])
('H', 'N', 165, [681, 362], [803, 305])
('N', 'G', 331, [803, 305], [685, 551])
('H', 'F', 137, [681, 362], [604, 285])
('R', 'S', 199, [346, 640], [381, 486])
('S', 'O', 77, [381, 486], [427, 533])
('P', 'S', 77, [308, 493], [381, 486])
('Y', 'S', 158, [345, 346], [381, 486])
('K', 'D', 234, [519, 638], [591, 828])
('I', 'K', 103, [464, 723], [519, 638])
('X', 'K', 189, [531, 461], [519, 638])
('O', 'X', 129, [427, 533], [531, 461])
('K', 'R', 184, [519, 638], [346, 640])
('L', 'U', 182, [411, 297], [512, 161])
('F', 'L', 225, [604, 285], [411, 297])
('L', 'Y', 97, [411, 297], [345, 346])
('C', 'L', 175, [344, 141], [411, 297])
('H', 'A', 168, [681, 362], [597, 475])
('A', 'F', 237, [597, 475], [604, 285])
('A', 'X', 86, [597, 475], [531, 461])
('X', 'F', 195, [531, 461], [604, 285])
('G', 'A', 148, [685, 551], [597, 475])
('K', 'A', 203, [519, 638], [597, 475])
('G', 'K', 187, [685, 551], [519, 638])
('W', 'K', 300, [756, 691], [519, 638])
('G', 'W', 170, [685, 551], [756, 691])
('W', 'D', 252, [756, 691], [591, 828])
('W', 'M', 280, [756, 691], [962, 825])
('W', 'N', 491, [756, 691], [803, 305])
('N', 'M', 556, [803, 305], [962, 825])
('X', 'Q', 162, [531, 461], [412, 400])
('Q', 'F', 245, [412, 400], [604, 285])
('Q', 'L', 126, [412, 400], [411, 297])
('O', 'Q', 139, [427, 533], [412, 400])
('S', 'Q', 110, [381, 486], [412, 400])
('Y', 'Q', 105, [345, 346], [412, 400])
